UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
162007,2,"R",142309,"R",0,"R",87,"R",5127,"R",3215,"R",837,"R",0,"R",148273,"R",3302,"R",151575,"R",6615,"R",580,"R",7195,1,"R",105,"R",90,"R",0,"R",870435,1,"R",264520,"R",40000,"R",217160,"R",369484,"R",626644,"R",12500,"R",40000,"R",52500,"R",1814099,1549579
162061,2,"R",11121,"R",4987,"R",30,"R",389,"R",0,"R",35,"R",1421,"R",11545,"R",6438,"R",17983,"R",454,"R",16348,"R",16802,2,"A",,"A",,"R",0,"R",99518,1,"R",12656,"R",1250,"R",54944,"R",15558,"R",71752,"R",0,"R",0,"R",0,"R",183926,171270
162104,2,"R",21814,"R",182496,"R",79,"R",458,"R",7,"R",7,"R",3,"R",22279,"R",182585,"R",204864,"R",849,"R",949,"R",1798,1,"R",0,"R",5,"R",0,"R",196181,1,"R",14506,"R",12817,"R",68130,"R",1498,"R",82445,"R",0,"R",27193,"R",27193,"R",320325,305819
162122,2,"R",51558,"R",356006,"R",94,"R",7167,"R",0,"R",64,"R",0,"R",58789,"R",356100,"R",414889,"R",3524,"R",13332,"R",16856,1,"R",1,"R",157,"R",2,"R",583115,1,"R",155378,"R",41254,"R",137811,"R",13661,"R",192726,"R",0,"R",10354,"R",10354,"R",941573,786195
162168,2,"R",34606,"R",488223,"R",54,"R",1265,"R",39361,"R",191,"R",32689,"R",36062,"R",560327,"R",596389,"R",664,"R",9658,"R",10322,2,"A",,"A",,"R",0,"R",209700,2,"Z",0,"R",9837,"R",87677,"R",0,"R",97514,"R",1000,"R",19690,"R",20690,"R",327904,327904
162210,2,"R",98485,"R",417077,"R",56,"R",1388,"R",143631,"R",511,"R",30665,"R",100384,"R",591429,"R",691813,"R",985,"R",3209,"R",4194,1,"R",174,"R",90,"R",1,"R",249104,1,"R",94967,"R",7227,"R",128063,"R",0,"R",135290,"R",0,"R",43341,"R",43341,"R",522702,427735
162283,2,"R",96440,"R",38089,"R",43,"R",4232,"R",0,"R",25479,"R",302180,"R",126151,"R",340312,"R",466463,"R",2612,"R",1877,"R",4489,1,"R",1092,"R",93,"R",0,"R",630493,1,"R",213301,"R",79229,"R",376172,"R",37657,"R",493058,"R",3980,"R",12593,"R",16573,"R",1353425,1140124
162557,2,"R",11815,"R",49479,"R",25,"R",1149,"Z",0,"R",16,"Z",0,"R",12980,"R",49504,"R",62484,"R",3167,"R",29370,"R",32537,1,"R",64,"R",39,"R",0,"R",317111,2,"Z",0,"R",22496,"R",74921,"R",449,"R",97866,"R",0,"R",16902,"R",16902,"R",431879,431879
162584,2,"R",246542,"R",134043,"R",68,"R",94828,"R",1099,"R",8526,"R",109640,"R",349896,"R",244850,"R",594746,"R",8832,"R",2910,"R",11742,1,"R",2307,"R",2532,"R",0,"R",1106375,1,"R",503462,"R",78395,"R",432597,"R",28620,"R",539612,"R",8483,"R",271459,"R",279942,"R",2429391,1925929
162609,2,"R",15519,"R",64576,"R",30,"R",2517,"R",0,"R",0,"R",0,"R",18036,"R",64606,"R",82642,"R",2507,"R",26728,"R",29235,2,"A",,"A",,"R",0,"R",160431,1,"R",38034,"R",5268,"R",32435,"R",10081,"R",47784,"R",0,"R",1643,"R",1643,"R",247892,209858
162654,2,"R",212229,"R",348929,"R",181,"R",5387,"R",66872,"R",866,"R",95671,"R",218482,"R",511653,"R",730135,"R",8209,"R",59865,"R",68074,1,"R",986,"R",1042,"R",0,"R",824569,2,"Z",0,"R",61145,"R",361340,"R",11236,"R",433721,"R",16833,"R",92962,"R",109795,"R",1368085,1368085
162690,2,"R",4351,"R",187388,"R",35,"R",410,"R",23154,"R",7,"R",105256,"R",4768,"R",315833,"R",320601,"R",3011,"R",34114,"R",37125,1,"R",0,"R",32,"R",2,"R",171659,1,"R",30851,"R",4574,"R",110361,"R",3865,"R",118800,"R",0,"R",0,"R",0,"R",321310,290459
