UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
201283,2,"R",31890,"R",149341,"R",165,"R",3635,"R",347259,"R",180,"R",347297,"R",35705,"R",844062,"R",879767,"R",2598,"R",7470,"R",10068,1,"R",89,"R",21,"R",0,"R",90996,1,"R",20934,"R",13575,"R",49810,"R",2060,"R",65445,"R",0,"R",59643,"R",59643,"R",237018,216084
201371,2,"R",73648,"R",283031,"R",258,"R",2556,"R",7307,"R",1001,"R",46672,"R",77205,"R",337268,"R",414473,"R",3793,"R",12248,"R",16041,1,"R",3407,"R",2125,"R",0,"R",275834,2,"Z",0,"R",31948,"R",110511,"R",1776,"R",144235,"R",1107,"R",112266,"R",113373,"R",533442,533442
201399,2,"R",1553,"R",0,"R",3,"R",186,"R",0,"R",39,"R",0,"R",1778,"R",3,"R",1781,"R",142,"R",558,"R",700,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201432,2,"R",18251,"R",194283,"R",300,"R",1301,"R",29180,"R",2423,"R",88298,"R",21975,"R",312061,"R",334036,"R",14032,"R",210645,"R",224677,1,"R",1447,"R",6413,"R",0,"R",113056,2,"Z",0,"R",23190,"R",985,"R",1592,"R",25767,"R",0,"R",0,"R",0,"R",138823,138823
201441,2,"R",814869,"R",194293,"R",300,"R",388940,"R",29180,"R",774,"R",88298,"R",1204583,"R",312071,"R",1516654,"R",136014,"R",210645,"R",346659,1,"R",1447,"R",6413,"R",0,"R",3886187,2,"Z",0,"R",357196,"R",2237569,"R",13393,"R",2608158,"R",49299,"R",641166,"R",690465,"R",7184810,7184810
201469,2,"R",1925,"R",1702,"R",45,"R",47,"R",71,"R",41,"R",0,"R",2013,"R",1818,"R",3831,"R",0,"R",175,"R",175,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201548,2,"R",367621,"R",183740,"R",168,"R",18081,"R",33793,"R",1630,"R",323008,"R",387332,"R",540709,"R",928041,"R",15514,"R",4512,"R",20026,1,"R",1123,"R",611,"R",0,"R",659588,1,"R",219007,"R",68967,"R",816428,"R",510,"R",885905,"R",2170,"R",580702,"R",582872,"R",2347372,2128365
201645,2,"R",1178252,"R",1401268,"R",608,"R",91709,"R",72913,"R",39314,"R",105436,"R",1309275,"R",1580225,"R",2889500,"R",66404,"R",1209867,"R",1276271,1,"R",20557,"R",16468,"R",5,"R",5559827,1,"R",1474078,"R",1481968,"R",5968226,"R",245451,"R",7695645,"R",35972,"R",2264339,"R",2300311,"R",17029861,15555783
201654,2,"R",156251,"R",128348,"R",199,"R",12033,"R",6016,"R",737,"R",26199,"R",169021,"R",160762,"R",329783,"R",38865,"R",378287,"R",417152,1,"R",3833,"R",3934,"R",0,"R",919786,2,"Z",0,"R",180072,"R",515472,"R",0,"R",695544,"R",7405,"R",248438,"R",255843,"R",1871173,1871173
201690,2,"R",329314,"R",135127,"R",210,"R",2448,"R",28107,"R",29995,"R",66043,"R",361757,"R",229487,"R",591244,"R",3049,"R",7627,"R",10676,1,"R",43,"R",7,"R",0,"R",342370,1,"R",133505,"R",0,"R",19788,"R",219551,"R",239339,"R",0,"R",30439,"R",30439,"R",745653,612148
201751,2,"R",20424,"R",209989,"R",205,"R",186,"R",57217,"R",25,"R",28520,"R",20635,"R",295931,"R",316566,"R",2028,"R",32,"R",2060,1,"R",2984,"R",706,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201821,2,"R",3338,"R",1495,"R",33,"R",48,"R",0,"R",380,"R",12999,"R",3766,"R",14527,"R",18293,"R",222,"R",5532,"R",5754,1,"R",386,"R",807,"R",0,"R",197509,2,"Z",0,"R",5589,"R",461601,"R",1827,"R",469017,"R",0,"R",0,"R",0,"R",666526,666526
201858,2,"R",111278,"R",170679,"R",124,"R",2498,"R",85672,"R",1135,"R",29872,"R",114911,"R",286347,"R",401258,"R",13990,"R",1003,"R",14993,1,"R",2134,"R",1047,"R",0,"R",138089,1,"R",6507,"R",20584,"R",50047,"R",0,"R",70631,"R",3712,"R",23673,"R",27385,"R",242612,236105
201867,2,"R",1356,"R",0,"R",0,"R",29,"R",0,"R",277,"R",0,"R",1662,"R",0,"R",1662,"R",380,"R",0,"R",380,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
201885,2,"R",2858160,"R",1526730,"R",1299,"R",78985,"R",55977,"R",103072,"R",170173,"R",3040217,"R",1754179,"R",4794396,"R",101997,"R",1998312,"R",2100309,1,"R",27237,"R",18066,"R",10,"R",7645675,2,"Z",0,"R",1201224,"R",9961500,"R",105333,"R",11268057,"R",0,"R",2447353,"R",2447353,"R",21361085,21361085
201928,2,"R",25401,"R",178425,"R",76,"R",2248,"R",26220,"R",98,"R",0,"R",27747,"R",204721,"R",232468,"R",13995,"R",7804,"R",21799,1,"R",1312,"R",1798,"R",0,"R",421811,1,"R",191069,"R",45057,"R",62621,"R",0,"R",107678,"R",0,"R",49996,"R",49996,"R",770554,579485
201946,2,"R",21730,"R",3,"R",0,"R",684,"R",5,"R",596,"R",0,"R",23010,"R",8,"R",23018,"R",3682,"R",30,"R",3712,1,"R",1431,"R",969,"R",0,"R",271025,2,"Z",0,"R",74900,"R",51820,"R",3000,"R",129720,"R",0,"R",6500,"R",6500,"R",407245,407245
201955,2,"R",19364,"R",2,"R",0,"R",383,"R",2,"R",265,"R",0,"R",20012,"R",4,"R",20016,"R",1211,"R",10,"R",1221,1,"R",276,"R",527,"R",0,"R",432362,2,"Z",0,"R",13832,"R",85443,"R",768,"R",100043,"R",0,"R",4542,"R",4542,"R",536947,536947
201964,2,"R",54086,"R",211526,"R",84,"R",3111,"R",128468,"R",295,"R",29542,"R",57492,"R",369620,"R",427112,"R",3329,"R",2462,"R",5791,1,"R",1089,"R",561,"R",0,"R",161504,1,"R",32063,"R",24356,"R",48458,"R",0,"R",72814,"R",0,"R",64558,"R",64558,"R",330939,298876
201973,2,"R",11801,"R",1700,"R",175,"R",1756,"R",132,"R",101,"R",17,"R",13658,"R",2024,"R",15682,"R",1500,"R",3350,"R",4850,1,"R",1068,"R",1512,"R",0,"R",216241,1,"R",45000,"R",11233,"R",10500,"R",49164,"R",70897,"R",17467,"R",13980,"R",31447,"R",363585,318585
202046,2,"R",44706,"R",325000,"R",91,"R",4942,"R",5660,"R",420,"R",11,"R",50068,"R",330762,"R",380830,"R",6670,"R",5489,"R",12159,1,"R",375,"R",405,"R",0,"R",211776,2,"Z",0,"R",22569,"R",39313,"R",893,"R",62775,"R",5363,"R",15871,"R",21234,"R",295785,295785
202073,2,"R",55175,"R",0,"R",8,"R",30653,"R",5,"R",0,"R",0,"R",85828,"R",13,"R",85841,"R",12599,"R",6566,"R",19165,1,"R",634,"R",324,"R",0,"R",221641,1,"R",50855,"R",20102,"R",19302,"R",3470,"R",42874,"R",2900,"R",22968,"R",25868,"R",341238,290383
202134,2,"R",434708,"R",302907,"R",401,"R",41132,"R",104858,"R",7629,"R",89890,"R",483469,"R",498056,"R",981525,"R",33501,"R",224412,"R",257913,1,"R",10040,"R",16976,"R",0,"R",2295156,1,"R",766138,"R",42060,"R",371386,"R",1010994,"R",1424440,"R",0,"R",238671,"R",238671,"R",4724405,3958267
202161,2,"R",2417,"R",0,"R",36,"R",484,"R",0,"R",31,"R",0,"R",2932,"R",36,"R",2968,"R",283,"R",34600,"R",34883,1,"R",0,"R",5,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
202170,2,"R",41659,"R",276496,"R",168,"R",1608,"R",2058,"R",434,"R",29988,"R",43701,"R",308710,"R",352411,"R",6709,"R",16595,"R",23304,1,"R",1250,"R",965,"R",0,"R",299227,2,"Z",0,"R",40699,"R",80842,"R",0,"R",121541,"R",9710,"R",46823,"R",56533,"R",477301,477301
202222,2,"R",32821,"R",80137,"R",189,"R",4127,"R",2062,"R",274,"R",54041,"R",37222,"R",136429,"R",173651,"R",26813,"R",208005,"R",234818,1,"R",1456,"R",7109,"R",1,"R",1092258,1,"R",278058,"R",6810,"R",202389,"R",0,"R",209199,"R",0,"R",103655,"R",103655,"R",1683170,1405112
202356,2,"R",111250,"R",601,"R",122,"R",7261,"R",1006,"R",405,"R",68,"R",118916,"R",1797,"R",120713,"R",83386,"R",834543,"R",917929,1,"R",511,"R",91,"R",4,"R",4728776,1,"R",1320692,"R",243598,"R",354768,"R",4262,"R",602628,"R",0,"R",228213,"R",228213,"R",6880309,5559617
202435,2,"R",2165,"Z",0,"Z",0,"R",100,"Z",0,"R",27,"Z",0,"R",2292,"R",0,"R",2292,"R",463,"R",0,"R",463,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
202480,2,"R",701418,"R",972137,"R",334,"R",377366,"R",156740,"R",3839,"R",155062,"R",1082623,"R",1284273,"R",2366896,"R",56163,"R",131945,"R",188108,1,"R",10214,"R",11259,"R",2,"R",2660804,1,"R",1158848,"R",543696,"R",2170165,"R",83829,"R",2797690,"R",14881,"R",2460367,"R",2475248,"R",9092590,7933742
