id,run_id,dyad_id,model_id,score,last_updated_date
5309,41,2725,1,4.0,1/25/2024 9:10:16 AM
5328,41,2733,1,1.0,1/25/2024 9:10:16 AM
5329,41,2733,4,1.0,1/25/2024 9:10:16 AM
5330,41,2733,2,1.0,1/25/2024 9:10:16 AM
5331,41,2733,3,0.996,1/25/2024 9:10:16 AM
5339,41,2737,1,3.0,1/25/2024 9:10:16 AM
5340,41,2738,1,3.0,1/25/2024 9:10:16 AM
5341,41,2738,3,1.0,1/25/2024 9:10:16 AM
5342,41,2738,4,0.291,1/25/2024 9:10:16 AM
5343,41,2738,2,0.291,1/25/2024 9:10:16 AM
5345,41,2740,2,1.0,1/25/2024 9:10:16 AM
5346,41,2740,4,1.0,1/25/2024 9:10:16 AM
5347,41,2740,1,1.0,1/25/2024 9:10:16 AM
5348,41,2740,3,0.996,1/25/2024 9:10:16 AM
5349,41,2741,1,2.0,1/25/2024 9:10:16 AM
5350,41,2741,2,1.0,1/25/2024 9:10:16 AM
5351,41,2741,3,0.996,1/25/2024 9:10:16 AM
5352,41,2742,1,1.0,1/25/2024 9:10:16 AM
5353,41,2742,4,1.0,1/25/2024 9:10:16 AM
5354,41,2742,2,1.0,1/25/2024 9:10:16 AM
5355,41,2742,3,0.996,1/25/2024 9:10:16 AM
5358,41,2744,1,3.0,1/25/2024 9:10:16 AM
5359,41,2744,4,1.0,1/25/2024 9:10:16 AM
5360,41,2744,3,1.0,1/25/2024 9:10:16 AM
5361,41,2744,2,1.0,1/25/2024 9:10:16 AM
5362,41,2745,1,3.0,1/25/2024 9:10:16 AM
5363,41,2745,4,1.0,1/25/2024 9:10:16 AM
5367,41,2748,1,1.0,1/25/2024 9:10:16 AM
5368,41,2748,4,1.0,1/25/2024 9:10:16 AM
5369,41,2748,2,1.0,1/25/2024 9:10:16 AM
5370,41,2748,3,0.996,1/25/2024 9:10:16 AM
5371,41,2749,1,3.0,1/25/2024 9:10:16 AM
5372,41,2750,1,1.0,1/25/2024 9:10:16 AM
5373,41,2750,3,0.996,1/25/2024 9:10:16 AM
5374,41,2751,1,2.0,1/25/2024 9:10:16 AM
5375,41,2751,2,1.0,1/25/2024 9:10:16 AM
5376,41,2751,4,1.0,1/25/2024 9:10:16 AM
5377,41,2751,3,0.996,1/25/2024 9:10:16 AM
5379,41,2753,1,2.0,1/25/2024 9:10:16 AM
5380,41,2753,4,1.0,1/25/2024 9:10:16 AM
5381,41,2753,2,1.0,1/25/2024 9:10:16 AM
5382,41,2753,3,0.996,1/25/2024 9:10:16 AM
5383,41,2754,1,3.0,1/25/2024 9:10:16 AM
5384,41,2754,2,1.0,1/25/2024 9:10:16 AM
5385,41,2754,4,1.0,1/25/2024 9:10:16 AM
5386,41,2754,3,0.997,1/25/2024 9:10:16 AM
5387,41,2755,1,1.0,1/25/2024 9:10:16 AM
5388,41,2755,2,1.0,1/25/2024 9:10:16 AM
5389,41,2755,3,0.992,1/25/2024 9:10:16 AM
5390,41,2755,4,0.566,1/25/2024 9:10:16 AM
5391,41,2756,1,2.0,1/25/2024 9:10:16 AM
5392,41,2756,4,1.0,1/25/2024 9:10:16 AM
5398,41,2760,1,3.0,1/25/2024 9:10:16 AM
5399,41,2760,3,0.996,1/25/2024 9:10:16 AM
5402,41,2762,1,1.0,1/25/2024 9:10:16 AM
5403,41,2763,1,3.0,1/25/2024 9:10:16 AM
5404,41,2763,4,1.0,1/25/2024 9:10:16 AM
5405,41,2763,2,1.0,1/25/2024 9:10:16 AM
5406,41,2763,3,0.996,1/25/2024 9:10:16 AM
5407,41,2764,1,1.0,1/25/2024 9:10:16 AM
5408,41,2764,3,0.997,1/25/2024 9:10:16 AM
5409,41,2764,4,0.52,1/25/2024 9:10:16 AM
5410,41,2764,2,0.52,1/25/2024 9:10:16 AM
5412,41,2766,4,1.0,1/25/2024 9:10:16 AM
5413,41,2766,1,1.0,1/25/2024 9:10:16 AM
5422,41,2770,1,4.0,1/25/2024 9:10:16 AM
5423,41,2770,4,1.0,1/25/2024 9:10:16 AM
5437,41,2777,1,1.0,1/25/2024 9:10:16 AM
5438,41,2777,4,1.0,1/25/2024 9:10:16 AM
5439,41,2777,3,0.996,1/25/2024 9:10:16 AM
5440,41,2778,1,3.0,1/25/2024 9:10:16 AM
5448,41,2782,1,4.0,1/25/2024 9:10:16 AM
5449,41,2782,3,1.0,1/25/2024 9:10:16 AM
5450,41,2782,2,1.0,1/25/2024 9:10:16 AM
5451,41,2782,4,1.0,1/25/2024 9:10:16 AM
5453,41,2784,1,4.0,1/25/2024 9:10:16 AM
5454,41,2784,3,1.0,1/25/2024 9:10:16 AM
5455,41,2784,2,1.0,1/25/2024 9:10:16 AM
5456,41,2784,4,1.0,1/25/2024 9:10:16 AM
5457,41,2785,1,4.0,1/25/2024 9:10:16 AM
5458,41,2785,2,1.0,1/25/2024 9:10:16 AM
5459,41,2785,3,0.996,1/25/2024 9:10:16 AM
5462,41,2787,1,3.0,1/25/2024 9:10:16 AM
5463,41,2788,1,3.0,1/25/2024 9:10:16 AM
5468,41,2791,1,2.0,1/25/2024 9:10:16 AM
5469,41,2791,2,1.0,1/25/2024 9:10:16 AM
5470,41,2791,4,1.0,1/25/2024 9:10:16 AM
5471,41,2791,3,0.996,1/25/2024 9:10:16 AM
5474,41,2793,1,1.0,1/25/2024 9:10:16 AM
5475,41,2793,2,1.0,1/25/2024 9:10:16 AM
5476,41,2793,4,1.0,1/25/2024 9:10:16 AM
5477,41,2793,3,0.996,1/25/2024 9:10:16 AM
5479,41,2795,2,1.0,1/25/2024 9:10:16 AM
5480,41,2795,4,1.0,1/25/2024 9:10:16 AM
5481,41,2795,1,1.0,1/25/2024 9:10:16 AM
5482,41,2795,3,0.996,1/25/2024 9:10:16 AM
5488,41,2799,2,1.0,1/25/2024 9:10:16 AM
5489,41,2799,4,1.0,1/25/2024 9:10:16 AM
5490,41,2799,1,1.0,1/25/2024 9:10:16 AM
5491,41,2799,3,0.996,1/25/2024 9:10:16 AM
5492,41,2800,4,1.0,1/25/2024 9:10:16 AM
5493,41,2800,1,1.0,1/25/2024 9:10:16 AM
5494,41,2800,3,0.996,1/25/2024 9:10:16 AM
5495,41,2801,1,3.0,1/25/2024 9:10:16 AM
5496,41,2801,3,0.996,1/25/2024 9:10:16 AM
5497,41,2802,4,1.0,1/25/2024 9:10:16 AM
5498,41,2802,1,1.0,1/25/2024 9:10:16 AM
5499,41,2802,3,0.996,1/25/2024 9:10:16 AM
5500,41,2803,1,3.0,1/25/2024 9:10:16 AM
5505,41,2806,1,2.0,1/25/2024 9:10:16 AM
