id,run_id,publication_id,topic_id,score,last_updated_date
321606,41,321794,42896,,1/24/2024 5:41:03 PM
321607,41,321795,46806,,1/24/2024 5:41:03 PM
321608,41,321796,46990,,1/24/2024 5:41:03 PM
321609,41,321797,43663,,1/24/2024 5:41:03 PM
321610,41,321798,9880,,1/24/2024 5:41:03 PM
321611,41,321799,44040,,1/24/2024 5:41:03 PM
321612,41,321800,45303,,1/24/2024 5:41:03 PM
321613,41,321801,46953,,1/24/2024 5:41:03 PM
321614,41,321802,9727,,1/24/2024 5:41:03 PM
321615,41,321803,42965,,1/24/2024 5:41:03 PM
321617,41,321805,46791,,1/24/2024 5:41:03 PM
321618,41,321806,9747,,1/24/2024 5:41:03 PM
321619,41,321807,9545,,1/24/2024 5:41:03 PM
321620,41,321808,46791,,1/24/2024 5:41:03 PM
321622,41,321810,45605,,1/24/2024 5:41:03 PM
321623,41,321811,42603,,1/24/2024 5:41:03 PM
321624,41,321812,44643,,1/24/2024 5:41:03 PM
321625,41,321813,46194,,1/24/2024 5:41:03 PM
321626,41,321814,9577,,1/24/2024 5:41:03 PM
321627,41,321815,46572,,1/24/2024 5:41:03 PM
321628,41,321816,46579,,1/24/2024 5:41:03 PM
321629,41,321817,45295,,1/24/2024 5:41:03 PM
321630,41,321818,42194,,1/24/2024 5:41:03 PM
321631,41,321819,44195,,1/24/2024 5:41:03 PM
321632,41,321820,9795,,1/24/2024 5:41:03 PM
321633,41,321821,45140,,1/24/2024 5:41:03 PM
321634,41,321822,42810,,1/24/2024 5:41:03 PM
321635,41,321823,42449,,1/24/2024 5:41:03 PM
321636,41,321824,10089,,1/24/2024 5:41:03 PM
321637,41,321825,43063,,1/24/2024 5:41:03 PM
321638,41,321826,42965,,1/24/2024 5:41:03 PM
321639,41,321827,47267,,1/24/2024 5:41:03 PM
321640,41,321828,45124,,1/24/2024 5:41:03 PM
321641,41,321829,10359,,1/24/2024 5:41:03 PM
321642,41,321830,42662,,1/24/2024 5:41:03 PM
321643,41,321831,43319,,1/24/2024 5:41:03 PM
321644,41,321832,47410,,1/24/2024 5:41:03 PM
321645,41,321833,10280,,1/24/2024 5:41:03 PM
321646,41,321834,43342,,1/24/2024 5:41:03 PM
